DEBUG 2019-09-19 16:22:45,509 utils 5052 8928 (0.000) None; args=(2,)
DEBUG 2019-09-19 16:25:29,965 utils 5052 8928 (0.000) None; args=(2,)
DEBUG 2019-09-19 16:25:36,445 utils 5052 8928 (0.000) None; args=(2,)
DEBUG 2019-09-19 16:26:03,450 utils 9636 9288 (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2019-09-19 16:26:03,452 utils 9636 9288 (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2019-09-19 16:26:03,455 utils 9636 9288 (0.000) SELECT VERSION(); args=None
DEBUG 2019-09-19 16:26:03,461 utils 9636 9288 (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2019-09-19 16:26:03,464 utils 9636 9288 (0.001) SELECT `index_product`.`id`, `index_product`.`name`, `index_product`.`weight`, `index_product`.`size`, `index_product`.`type_id`, `index_type`.`id`, `index_type`.`type_name` FROM `index_product` INNER JOIN `index_type` ON (`index_product`.`type_id` = `index_type`.`id`) WHERE `index_type`.`type_name` = '手机' LIMIT 21; args=('手机',)
DEBUG 2019-09-19 16:27:20,863 utils 9636 9288 (0.002) SELECT `index_product`.`id`, `index_product`.`name`, `index_product`.`weight`, `index_product`.`size`, `index_product`.`type_id`, `index_type`.`id`, `index_type`.`type_name` FROM `index_product` INNER JOIN `index_type` ON (`index_product`.`type_id` = `index_type`.`id`) WHERE `index_type`.`type_name` = '手机' LIMIT 1; args=('手机',)
DEBUG 2019-09-19 16:29:28,078 utils 9636 9288 (0.002) SELECT `index_product`.`id`, `index_product`.`name`, `index_product`.`weight`, `index_product`.`size`, `index_product`.`type_id`, `index_type`.`id`, `index_type`.`type_name` FROM `index_product` INNER JOIN `index_type` ON (`index_product`.`type_id` = `index_type`.`id`) WHERE `index_type`.`type_name` = '手机' LIMIT 1; args=('手机',)
DEBUG 2019-09-19 16:31:01,494 utils 9636 9288 (0.002) SELECT `index_product`.`id`, `index_product`.`name`, `index_product`.`weight`, `index_product`.`size`, `index_product`.`type_id`, `index_type`.`id`, `index_type`.`type_name` FROM `index_product` INNER JOIN `index_type` ON (`index_product`.`type_id` = `index_type`.`id`) WHERE `index_type`.`type_name` = '手机' LIMIT 1; args=('手机',)
DEBUG 2019-09-19 16:31:07,879 utils 9636 9288 (0.002) SELECT `index_product`.`id`, `index_product`.`name`, `index_product`.`weight`, `index_product`.`size`, `index_product`.`type_id`, `index_type`.`id`, `index_type`.`type_name` FROM `index_product` INNER JOIN `index_type` ON (`index_product`.`type_id` = `index_type`.`id`) WHERE `index_type`.`type_name` = '手机' LIMIT 1; args=('手机',)
DEBUG 2019-09-19 16:31:20,613 utils 9636 9288 (0.001) SELECT `index_product`.`id`, `index_product`.`name`, `index_product`.`weight`, `index_product`.`size`, `index_product`.`type_id`, `index_type`.`id`, `index_type`.`type_name` FROM `index_product` INNER JOIN `index_type` ON (`index_product`.`type_id` = `index_type`.`id`) WHERE `index_type`.`type_name` = '手机' LIMIT 1; args=('手机',)
DEBUG 2019-09-19 17:06:05,582 utils 9984 8364 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2019-09-19 17:06:05,583 utils 9984 8364 (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2019-09-19 17:06:05,584 utils 9984 8364 (0.000) SELECT VERSION(); args=None
DEBUG 2019-09-19 17:06:05,603 utils 9984 8364 (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2019-09-19 17:06:05,604 utils 9984 8364 (0.000) SHOW FULL TABLES; args=None
DEBUG 2019-09-19 17:06:05,607 utils 9984 8364 (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2019-09-19 17:06:12,905 utils 3676 5844 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2019-09-19 17:06:12,905 utils 3676 5844 (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2019-09-19 17:06:12,906 utils 3676 5844 (0.001) SELECT @@sql_mode; args=None
DEBUG 2019-09-19 17:06:12,911 utils 3676 5844 (0.000) SELECT VERSION(); args=None
DEBUG 2019-09-19 17:06:12,933 utils 3676 5844 (0.000) SHOW FULL TABLES; args=None
DEBUG 2019-09-19 17:06:12,936 utils 3676 5844 (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2019-09-19 17:06:12,937 utils 3676 5844 (0.000) SHOW FULL TABLES; args=None
DEBUG 2019-09-19 17:06:12,939 utils 3676 5844 (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2019-09-19 17:06:12,951 utils 3676 5844 (0.000) SHOW FULL TABLES; args=None
DEBUG 2019-09-19 17:06:12,953 schema 3676 5844 CREATE TABLE `index_city` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(5) NOT NULL); (params None)
DEBUG 2019-09-19 17:06:12,987 utils 3676 5844 (0.034) CREATE TABLE `index_city` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(5) NOT NULL); args=None
DEBUG 2019-09-19 17:06:12,989 utils 3676 5844 (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'index_city'; args=['index_city']
DEBUG 2019-09-19 17:06:12,990 utils 3676 5844 (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'index_city'; args=['index_city']
DEBUG 2019-09-19 17:06:12,993 schema 3676 5844 CREATE TABLE `index_person` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(10) NOT NULL, `living_id` integer NOT NULL); (params None)
DEBUG 2019-09-19 17:06:13,028 utils 3676 5844 (0.035) CREATE TABLE `index_person` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(10) NOT NULL, `living_id` integer NOT NULL); args=None
DEBUG 2019-09-19 17:06:13,030 utils 3676 5844 (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'index_person'; args=['index_person']
DEBUG 2019-09-19 17:06:13,031 utils 3676 5844 (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'index_person'; args=['index_person']
DEBUG 2019-09-19 17:06:13,033 utils 3676 5844 (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'index_person'; args=['index_person']
DEBUG 2019-09-19 17:06:13,035 schema 3676 5844 CREATE TABLE `index_provice` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(10) NOT NULL); (params None)
DEBUG 2019-09-19 17:06:13,066 utils 3676 5844 (0.030) CREATE TABLE `index_provice` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(10) NOT NULL); args=None
